Scientific name,Acronym,In modelling folder,Functional Group,Taxonomic Group,Phylum,Common name
Balanus balanus,Bbal,Yes,Zoobenthos,Thecostraca,Arthropoda,"Acorn barnacle, rough barnacle"
Balanus crenatus,Bcre,Yes,Zoobenthos,Thecostraca,Arthropoda,"Crenate barnacle, wrinkled barnacle"
Bonnemaisonia hamifera,Bham,Yes,Phytobenthos,Rhodophyta,Rhodophyta,Japanese Red seaweed
Bougainvillia muscus,Bmus,Yes,Zoobenthos,Cnidaria,Cnidaria,
Bugula neritina,Bner,Yes,Zoobenthos,Bryozoa,Bryozoa,Brown bryozoan
Beroe ovata,Bova,Yes,Zooplankton,Ctenophora,Ctenophora,Flattened helmut comb jelly
Botryllus schlosseri,Bsch,Yes,Zoobenthos,Tunicata,Chordata,Golden star tunicate 
Botrylloides violaceus,Bvio,Yes,Zoobenthos,Tunicata,Chordata,Violet tunicate
Bugula stolonifera,Bsto,Yes,Zoobenthos,Bryozoa,Bryozoa,
Crassicorophium bonellii,Cbon,Yes,Zoobenthos,Amphipoda,Arthropoda,
Calyptospadix cerulea ,Ccer,Yes,Zoobenthos,Cnidaria,Cnidaria,
Craterolophus convolvulus,Ccon,Yes,Zooplankton,Cnidaria,Cnidaria,
Crangon crangon,Ccra,Yes,Zoobenthos,Decapoda,Arthropoda,European Brown Shrimp
Cerastoderma edule,Cedu,Yes,Zoobenthos,Mollusca,Mollusca,
Corella eumyota,Ceum,Yes,Zoobenthos,Tunicata,Chordata,Orange-tipped sea squirt
Crepidula fornicata,Cfor,Yes,Zoobenthos,Mollusca,Mollusca,Common Atlantic slippersnail
Codium fragile subsp. fragile,Cfra,Yes,Phytobenthos,Chlorophyta,Chlorophyta,"Green Sea Fingers, Dead-Man's Fingers, Green Fleece, Oyster Thief "
Centropages hamatus,Cham,Yes,Zooplankton,Copepoda,Arthropoda,
Calanus helgolandicus,Chel,Yes,Zooplankton,Copepoda,Arthropoda,
Celleporella hyalina,Chya,Yes,Zoobenthos,Bryozoa,Bryozoa,
Ciona intestinalis,Cint,Yes,Zoobenthos,Tunicata,Chordata,Sea Vase Tunicate
Cancer irroratus,Cirr,Yes,Zoobenthos,Decapoda,Arthropoda,Rock crab
Callopora lineata,Clin,Yes,Zoobenthos,Bryozoa,Bryozoa,
